prime_prefix,prime_word,prime_lex,target_prefix,target_word,target_lex,similarity
the,rain,FrenchPrime,les,rennes,Word,Match
the,tip,FrenchPrime,les,rennes,Word,NoMatch
it's,posh,FrenchPrime,un,rêve,Word,NoMatch
the,rave,FrenchPrime,un,rêve,Word,Match
the,tune,NonFrenchPrime,un,rêve,Word,NoMatch
some,fruit,NonFrenchPrime,une,ride,Word,NoMatch
they,read,FrenchPrime,une,ride,Word,Match
they,rid,FrenchPrime,une,ride,Word,Match
the,suit,FrenchPrime,une,ride,Word,NoMatch
they,beg,FrenchPrime,je,rôde,Word,NoMatch
they,move,NonFrenchPrime,je,rôde,Word,NoMatch
a,road,FrenchPrime,je,rôde,Word,Match
a,peach,NonFrenchPrime,un,sept,Word,NoMatch
the,ram,FrenchPrime,un,sept,Word,NoMatch
the,set,FrenchPrime,un,sept,Word,Match
the,ghost,NonFrenchPrime,le,site,Word,NoMatch
the,pool,FrenchPrime,le,site,Word,NoMatch
the,seat,FrenchPrime,le,site,Word,Match
they,sit,FrenchPrime,le,site,Word,Match
they,cease,FrenchPrime,un,six,Word,Match
the,pledge,NonFrenchPrime,un,six,Word,NoMatch
it's,red,FrenchPrime,un,six,Word,NoMatch
some,bread,NonFrenchPrime,la,sôle / sol,Word,NoMatch
a,pill,FrenchPrime,la,sôle / sol,Word,NoMatch
the,soul,FrenchPrime,la,sôle / sol,Word,Match
a,pad,NonFrenchPrime,plus,sotte,Word,NoMatch
they,read,FrenchPrime,plus,sotte,Word,NoMatch
they,rid,FrenchPrime,plus,sotte,Word,NoMatch
they,sort,FrenchPrime,plus,sotte,Word,Match
they,dig,FrenchPrime,la,soute,Word,NoMatch
the,suit,FrenchPrime,la,soute,Word,Match
a,trade,NonFrenchPrime,la,soute,Word,NoMatch
some,bread,NonFrenchPrime,elle,tape,Word,NoMatch
a,tap,FrenchPrime,elle,tape,Word,Match
some,veal,FrenchPrime,elle,tape,Word,NoMatch
a,bomb,FrenchPrime,il,tâte,Word,NoMatch
a,leak,NonFrenchPrime,il,tâte,Word,NoMatch
a,tart,FrenchPrime,il,tâte,Word,Match
the,tat,FrenchPrime,il,tâte,Word,Match
they,call,FrenchPrime,la,taupe,Word,NoMatch
a,leak,NonFrenchPrime,la,taupe,Word,NoMatch
the,top,FrenchPrime,la,taupe,Word,Match
the,man,FrenchPrime,la,tôle,Word,NoMatch
a,room,NonFrenchPrime,la,tôle,Word,NoMatch
a,toll,FrenchPrime,la,tôle,Word,Match
some,fish,FrenchPrime,un,tome,Word,NoMatch
it's,loose,NonFrenchPrime,un,tome,Word,NoMatch
it's,Tom,FrenchPrime,un,tome,Word,Match
a,lamb,FrenchPrime,le,type,Word,NoMatch
a,map,NonFrenchPrime,le,type,Word,NoMatch
the,tip,FrenchPrime,le,type,Word,Match
the,nose,NonFrenchPrime,une,veine,Word,NoMatch
they,pass,FrenchPrime,une,veine,Word,NoMatch
a,vein,FrenchPrime,une,veine,Word,Match
they,lash,FrenchPrime,le,vête,Word,NoMatch
a,pad,NonFrenchPrime,le,vête,Word,NoMatch
the,vet,FrenchPrime,le,vête,Word,Match
they,caught,FrenchPrime,une,ville,Word,NoMatch
a,coat,FrenchPrime,une,ville,Word,NoMatch
it's,loose,NonFrenchPrime,une,ville,Word,NoMatch
some,veal,FrenchPrime,une,ville,Word,Match
a,tie,FrenchPrime,un,bage,Nonword,NoMatch
a,bed,NonFrenchPrime,une,bêde,Nonword,Match
they,grow,FrenchPrime,un,beffe,Nonword,NoMatch
the,farce,FrenchPrime,une,bèrre,Nonword,NoMatch
a,lamb,FrenchPrime,une,bèrre,Nonword,NoMatch
the,man,FrenchPrime,une,bèrre,Nonword,NoMatch
a,gate,FrenchPrime,plus,binque,Nonword,NoMatch
they,get,FrenchPrime,plus,binque,Nonword,NoMatch
a,toll,FrenchPrime,plus,binque,Nonword,NoMatch
some,veal,FrenchPrime,plus,binque,Nonword,NoMatch
the,duck,NonFrenchPrime,la,braide,Nonword,NoMatch
a,cat,NonFrenchPrime,la,catte,Nonword,Match
a,lease,FrenchPrime,la,chaze,Nonword,NoMatch
they,make,FrenchPrime,la,chaze,Nonword,NoMatch
a,mate,FrenchPrime,la,chaze,Nonword,NoMatch
they,met,FrenchPrime,la,chaze,Nonword,NoMatch
a,back,FrenchPrime,moins,chinde,Nonword,NoMatch
the,bark,FrenchPrime,moins,chinde,Nonword,NoMatch
the,fan,FrenchPrime,moins,chinde,Nonword,NoMatch
the,grace,FrenchPrime,je,chirre,Nonword,NoMatch
the,flow,FrenchPrime,une,chive,Nonword,NoMatch
they,shone,NonFrenchPrime,un,chône,Nonword,Match
they,laugh,NonFrenchPrime,je,cide,Nonword,NoMatch
they,cope,NonFrenchPrime,la,côppe,Nonword,Match
a,fig,FrenchPrime,une,coume,Nonword,NoMatch
they,die,NonFrenchPrime,tu,daille,Nonword,Match
the,goose,FrenchPrime,le,dambe,Nonword,NoMatch
the,pain,FrenchPrime,le,dambe,Nonword,NoMatch
the,pen,FrenchPrime,le,dambe,Nonword,NoMatch
a,tap,FrenchPrime,le,dambe,Nonword,NoMatch
a,fad,FrenchPrime,des,deurre,Nonword,NoMatch
they,lash,FrenchPrime,des,deurre,Nonword,NoMatch
the,moose,FrenchPrime,des,deurre,Nonword,NoMatch
some,tea,FrenchPrime,la,dôle,Nonword,NoMatch
a,farm,FrenchPrime,pas,dôsse,Nonword,NoMatch
a,lack,FrenchPrime,pas,dôsse,Nonword,NoMatch
some,meat,FrenchPrime,pas,dôsse,Nonword,NoMatch
a,mitt,FrenchPrime,pas,dôsse,Nonword,NoMatch
they,caught,FrenchPrime,il,douge,Nonword,NoMatch
a,coat,FrenchPrime,il,douge,Nonword,NoMatch
some,fish,FrenchPrime,il,douge,Nonword,NoMatch
the,ram,FrenchPrime,il,douge,Nonword,NoMatch
the,fog,NonFrenchPrime,plus,fague,Nonword,Match
some,cash,FrenchPrime,des,fègue,Nonword,NoMatch
a,loop,FrenchPrime,des,fègue,Nonword,NoMatch
a,lot,FrenchPrime,des,fègue,Nonword,NoMatch
the,isle,NonFrenchPrime,moins,flisse,Nonword,NoMatch
the,bead,FrenchPrime,une,fôge,Nonword,NoMatch
they,bid,FrenchPrime,une,fôge,Nonword,NoMatch
the,leg,FrenchPrime,une,fôge,Nonword,NoMatch
the,vet,FrenchPrime,une,fôge,Nonword,NoMatch
they,call,FrenchPrime,une,fulle,Nonword,NoMatch
a,tart,FrenchPrime,une,fulle,Nonword,NoMatch
the,tat,FrenchPrime,une,fulle,Nonword,NoMatch
the,top,FrenchPrime,une,fulle,Nonword,NoMatch
a,clue,FrenchPrime,le,fuque,Nonword,NoMatch
some,guy,NonFrenchPrime,qu'il,gaille,Nonword,Match
a,road,FrenchPrime,je me,gaque,Nonword,NoMatch
a,seal,FrenchPrime,je me,gaque,Nonword,NoMatch
they,sort,FrenchPrime,je me,gaque,Nonword,NoMatch
the,tree,FrenchPrime,la,gêge,Nonword,NoMatch
a,zoo,FrenchPrime,un,gômme,Nonword,NoMatch
they,sigh,FrenchPrime,je,gôque,Nonword,NoMatch
a,force,FrenchPrime,une,gouque,Nonword,NoMatch
a,niece,FrenchPrime,une,gouque,Nonword,NoMatch
the,sheep,FrenchPrime,une,gouque,Nonword,NoMatch
the,disk,FrenchPrime,la,guèffe,Nonword,NoMatch
a,nerve,FrenchPrime,je,guèque,Nonword,NoMatch
the,pie,FrenchPrime,ils,guge,Nonword,NoMatch
a,bat,FrenchPrime,il,guinne,Nonword,NoMatch
some,ash,FrenchPrime,la,gurre,Nonword,NoMatch
a,fee,FrenchPrime,le,jache,Nonword,NoMatch
it's,posh,FrenchPrime,une,jangue,Nonword,NoMatch
the,rave,FrenchPrime,une,jangue,Nonword,NoMatch
the,set,FrenchPrime,une,jangue,Nonword,NoMatch
the,sea,FrenchPrime,la,jeuche,Nonword,NoMatch
a,bag,FrenchPrime,la,jouque,Nonword,NoMatch
the,base,FrenchPrime,la,jouque,Nonword,NoMatch
the,net,FrenchPrime,la,jouque,Nonword,NoMatch
the,pack,FrenchPrime,la,juse,Nonword,NoMatch
a,pale,FrenchPrime,la,juse,Nonword,NoMatch
they,pass,FrenchPrime,la,juse,Nonword,NoMatch
the,eel,FrenchPrime,une,kèppe,Nonword,NoMatch
the,game,NonFrenchPrime,une,liffe,Nonword,NoMatch
it’s,Ken,NonFrenchPrime,une,lousse,Nonword,NoMatch
the,mob,NonFrenchPrime,un,mabbe,Nonword,Match
they,fell,FrenchPrime,plus,manses,Nonword,NoMatch
the,ice,NonFrenchPrime,je,mappe,Nonword,NoMatch
it's,true,FrenchPrime,la,meuille,Nonword,NoMatch
they,keep,NonFrenchPrime,elle,mouve,Nonword,NoMatch
a,mesh,FrenchPrime,la,nambe,Nonword,NoMatch
a,pill,FrenchPrime,la,nambe,Nonword,NoMatch
the,soul,FrenchPrime,la,nambe,Nonword,NoMatch
they,dig,FrenchPrime,plus,namme,Nonword,NoMatch
they,read,FrenchPrime,plus,namme,Nonword,NoMatch
they,rid,FrenchPrime,plus,namme,Nonword,NoMatch
the,suit,FrenchPrime,plus,namme,Nonword,NoMatch
some,feet,FrenchPrime,une,nêlle,Nonword,NoMatch
it's,buff,FrenchPrime,elle,nève,Nonword,NoMatch
some,flesh,FrenchPrime,il,nire,Nonword,NoMatch
some,knees,NonFrenchPrime,je,nise,Nonword,Match
it’s,deep,NonFrenchPrime,la,nôse,Nonword,NoMatch
the,case,FrenchPrime,il,noure,Nonword,NoMatch
it's,Bill,FrenchPrime,une,nuffe,Nonword,NoMatch
they,cease,FrenchPrime,une,nuffe,Nonword,NoMatch
a,pan,FrenchPrime,une,nuffe,Nonword,NoMatch
they,beg,FrenchPrime,un,oinde,Nonword,NoMatch
the,kit,FrenchPrime,un,oinde,Nonword,NoMatch
the,meal,FrenchPrime,un,oinde,Nonword,NoMatch
the,mill,FrenchPrime,un,oinde,Nonword,NoMatch
a,bell,FrenchPrime,le,ouingue,Nonword,NoMatch
the,lace,FrenchPrime,le,ouingue,Nonword,NoMatch
it's,less,FrenchPrime,le,ouingue,Nonword,NoMatch
a,vein,FrenchPrime,le,ouingue,Nonword,NoMatch
it's,good,NonFrenchPrime,le,piche,Nonword,NoMatch
they,feel,FrenchPrime,la,puge,Nonword,NoMatch
they,fill,FrenchPrime,la,puge,Nonword,NoMatch
the,rain,FrenchPrime,la,puge,Nonword,NoMatch
the,tip,FrenchPrime,la,puge,Nonword,NoMatch
a,boat,FrenchPrime,un,quème,Nonword,NoMatch
they,bought,FrenchPrime,un,quème,Nonword,NoMatch
it's,mean,FrenchPrime,un,quème,Nonword,NoMatch
a,nap,FrenchPrime,un,quème,Nonword,NoMatch
the,cue,NonFrenchPrime,de,quiou,Nonword,Match
the,web,FrenchPrime,qu'il,ronne,Nonword,NoMatch
a,knob,NonFrenchPrime,il,roume,Nonword,NoMatch
the,boss,FrenchPrime,une,rouque,Nonword,NoMatch
they,led,FrenchPrime,une,rouque,Nonword,NoMatch
it's,Tom,FrenchPrime,une,rouque,Nonword,NoMatch
a,bomb,FrenchPrime,les,ruque,Nonword,NoMatch
a,mess,FrenchPrime,les,ruque,Nonword,NoMatch
the,part,FrenchPrime,les,ruque,Nonword,NoMatch
they,pat,FrenchPrime,les,ruque,Nonword,NoMatch
it’s,moot,NonFrenchPrime,je,sade,Nonword,NoMatch
it’s,Ted,NonFrenchPrime,le,tède,Nonword,Match
the,vase,FrenchPrime,ils,toche,Nonword,NoMatch
the,sash,FrenchPrime,la,velle,Nonword,NoMatch
the,pace,FrenchPrime,il,vique,Nonword,NoMatch
the,pool,FrenchPrime,il,vique,Nonword,NoMatch
it's,red,FrenchPrime,il,vique,Nonword,NoMatch
a,fad,FrenchPrime,je,voule,Nonword,NoMatch
the,folk,FrenchPrime,je,voule,Nonword,NoMatch
the,seat,FrenchPrime,je,voule,Nonword,NoMatch
they,sit,FrenchPrime,je,voule,Nonword,NoMatch
they,bet,FrenchPrime,le,vusse,Nonword,NoMatch
a,dam,FrenchPrime,le,vusse,Nonword,NoMatch
the,peak,FrenchPrime,le,vusse,Nonword,NoMatch
they,pick,FrenchPrime,le,vusse,Nonword,NoMatch
